ID,Source_IP,Destination_IP,Protocol,Timestamp,Traffic_Type,Source_Port,Destination_Port,Data_Volume,Packet_Size,HTTP_Status_Code,Firewall_Rule,VPN_Status,MFA_Status,Credential_Used,Data_Classification,Encryption_Algorithm
58,93.117.251.135,133.138.41.117,UDP,2020-06-26 09:28:46,Outbound,64349,10621,837,448,200,Allow,False,Used,+3q&ESq#W_g4,Highly Confidential,SHA-256
59,24.242.152.42,22.198.153.163,TCP,2015-01-28 18:32:18,Outbound,33923,24508,242,830,500,Deny,True,Used,u58XTk)W(aGB,Confidential,AES
60,183.196.36.114,45.27.72.252,ICMP,2010-11-23 18:08:39,Outbound,8310,50868,296,526,200,Allow,True,Failed,QZmaHJ4u@8V*,Highly Confidential,AES
61,168.239.30.249,83.163.36.63,TCP,2011-06-22 05:33:06,Inbound,26612,57235,482,129,200,Deny,False,Bypassed,!@eTW3xgie#1,Public,SHA-256
62,59.112.219.216,148.177.103.228,TCP,2021-11-01 03:12:57,Inbound,5159,46927,795,977,200,Allow,True,Used,9#JVhg091993,Public,SHA-256
63,148.65.114.46,195.49.236.53,ICMP,2020-07-18 13:32:57,Outbound,59654,62684,396,734,500,Deny,False,Failed,*ajiDeFl5^HZ,Confidential,AES
64,189.140.174.140,76.12.17.31,UDP,2019-01-28 06:41:17,Outbound,30327,2776,745,762,200,Deny,False,Bypassed,K%O^aiHW7l9X,Public,AES
65,143.125.28.22,24.26.83.230,ICMP,2015-05-25 09:26:08,Outbound,63206,24312,381,949,200,Quarantine,True,Bypassed,#YaY27KQw7Sk,Confidential,
66,217.140.205.181,184.73.217.85,ICMP,2013-08-15 21:24:26,Outbound,46504,60063,503,449,200,Allow,False,Used,tQ3)8lxNn_zL,Highly Confidential,AES
67,160.149.6.189,121.62.48.72,TCP,2021-07-18 14:56:35,Outbound,37332,37505,378,997,200,Quarantine,True,Bypassed,yEE^@m*Q&8en,Public,AES
68,31.202.5.211,201.225.11.158,ICMP,2023-01-28 07:00:25,Inbound,55510,8138,531,353,200,Allow,False,Bypassed,&xs*@eyn%8Qd,Internal,SHA-256
69,49.141.163.8,72.45.254.244,ICMP,2015-07-15 04:32:47,Outbound,56240,60551,578,124,200,Allow,True,Used,9QsIOiHS*IU2,Confidential,RSA
70,59.104.119.254,134.80.254.85,UDP,2010-04-28 19:00:15,Outbound,32759,30438,209,736,200,Deny,False,Bypassed,(d2FZP^v&q6w,Confidential,
71,130.48.204.180,155.143.209.127,UDP,2017-12-17 11:40:44,Outbound,13464,50012,164,1060,500,Deny,False,Failed,2JFJ$lejt@7Q,Highly Confidential,AES
72,93.23.173.88,94.159.111.51,TCP,2011-08-22 21:35:49,Outbound,48701,23972,783,865,200,Deny,True,Bypassed,npvZK67iC81*,Internal,SHA-256
73,109.163.229.191,136.124.191.28,ICMP,2020-12-25 14:48:55,Outbound,33797,2639,47,119,200,Deny,False,Bypassed,Xki)nbCi40VR,Highly Confidential,RSA
74,128.63.37.144,148.30.177.122,TCP,2010-07-03 14:01:21,Outbound,39277,20164,816,1449,200,Quarantine,False,Failed,LBQOM7dh%ty4,Internal,AES
75,65.113.3.165,186.20.51.238,TCP,2021-01-08 07:40:25,Outbound,33911,50789,627,1005,200,Quarantine,True,Bypassed,O16QuOjZ%G1R,Internal,RSA
76,165.132.252.171,81.215.228.215,UDP,2020-02-14 05:12:16,Inbound,62725,63761,305,631,200,Quarantine,False,Failed,mF+q7TmJn5HP,Highly Confidential,SHA-256
77,168.111.233.188,67.63.233.242,ICMP,2016-01-17 05:03:14,Outbound,15047,13243,848,1143,200,Quarantine,False,Used,LY88j1HIB$GX,Public,RSA
78,179.160.29.115,3.69.66.230,UDP,2022-02-20 09:35:04,Outbound,43657,13072,775,628,200,Quarantine,True,Used,_YHQo$rA2zyA,Internal,AES
79,20.181.214.223,112.26.223.72,ICMP,2020-06-19 07:31:27,Outbound,59302,61510,138,1072,200,Allow,True,Failed,dF21TyImuY+9,Internal,
80,218.60.19.115,10.172.124.37,UDP,2023-04-11 09:06:16,Outbound,62354,16257,7,574,200,Deny,False,Failed,!b82hTFPi$HD,Confidential,AES
81,81.182.201.196,39.68.87.240,TCP,2018-02-26 07:05:12,Inbound,63765,8754,490,353,200,Quarantine,False,Failed,&2EDzyleOA^V,Highly Confidential,RSA
82,52.148.150.69,63.102.230.237,TCP,2017-10-24 15:07:13,Inbound,48007,38218,501,226,200,Deny,True,Failed,b+49)iShjUaV,Internal,
83,179.111.12.184,98.173.17.48,TCP,2011-05-02 07:33:17,Outbound,3103,18815,419,408,200,Quarantine,False,Failed,V&1ASDUF)okA,Highly Confidential,
84,187.222.142.0,215.33.236.52,UDP,2011-07-29 04:14:51,Outbound,45162,47127,558,908,200,Allow,True,Failed,W)TH$0B7Wcbo,Confidential,RSA
85,15.78.7.6,112.168.183.1,TCP,2010-03-11 15:15:27,Outbound,29791,15358,553,484,200,Allow,True,Bypassed,#oj5EcrHDad(,Confidential,RSA
86,69.77.63.38,102.184.96.245,ICMP,2022-12-20 23:34:20,Outbound,52522,34372,327,1466,200,Allow,False,Failed,!%8JW*&X^@Zn,Internal,
87,47.230.160.0,85.28.219.2,TCP,2011-12-26 15:19:46,Inbound,4401,17594,387,1419,200,Allow,True,Used,tGcD7KHwn)E6,Internal,
88,170.214.135.163,38.101.209.66,ICMP,2018-10-30 04:58:34,Outbound,21236,17142,369,1090,200,Deny,True,Bypassed,+kKdhd1oH3^S,Highly Confidential,SHA-256
89,158.79.70.174,198.212.1.125,UDP,2010-01-27 22:52:43,Inbound,33746,36087,671,1442,200,Deny,False,Failed,(F6rfCpE8Gi),Internal,SHA-256
90,154.207.85.88,153.164.166.112,TCP,2020-11-05 00:09:33,Inbound,15358,33144,467,804,200,Quarantine,False,Bypassed,*9ny(sxaXSJ!,Highly Confidential,AES
91,94.25.92.30,185.77.253.238,ICMP,2011-12-30 19:27:52,Outbound,54449,23229,274,852,200,Deny,False,Bypassed,_hMXZJsJn7no,Internal,RSA
92,87.34.48.33,196.174.246.67,ICMP,2019-06-12 18:42:47,Inbound,16081,13856,923,1457,200,Deny,False,Used,LOM8yfeK!$1R,Public,SHA-256
93,17.162.232.30,20.176.51.93,TCP,2015-03-23 09:30:45,Inbound,33843,48855,998,748,200,Deny,True,Used,2u@SKTFd!g+9,Confidential,
94,53.108.183.232,93.140.158.19,TCP,2015-05-09 10:40:06,Inbound,18585,10108,390,1497,200,Allow,False,Failed,!!UI^mf7T1V!,Confidential,AES
95,94.249.159.87,100.237.248.43,TCP,2020-09-09 21:24:44,Outbound,57628,25247,13,637,200,Allow,True,Bypassed,F9XnGR4j*bGT,Internal,
96,102.196.12.212,88.88.215.6,ICMP,2013-02-17 18:48:56,Outbound,39939,40415,201,977,200,Deny,True,Failed,g^8A+8WnF*ZM,Confidential,
97,110.198.47.166,172.38.17.129,ICMP,2018-01-13 22:47:34,Inbound,22381,24646,288,844,200,Quarantine,True,Bypassed,Vxe_V*lwt7PO,Internal,AES
98,135.126.201.187,211.232.5.158,TCP,2018-08-20 20:11:01,Outbound,40210,31408,597,860,200,Quarantine,False,Bypassed,TgGCW*sx)8N7,Public,SHA-256
99,148.63.48.31,92.237.84.43,UDP,2021-08-25 12:55:00,Inbound,34491,48946,532,1182,200,Quarantine,True,Failed,!GX*0Vui@0q&,Confidential,
100,115.251.27.216,72.68.25.13,ICMP,2011-03-22 03:46:01,Outbound,23850,31206,100,937,200,Deny,False,Used,P5AL@Z8m+8_0,Confidential,AES
101,68.245.193.105,122.69.174.77,TCP,2023-04-02 06:20:35,Inbound,42998,43078,443,850,200,Quarantine,True,Failed,nJsl%eh%+50O,Highly Confidential,
102,130.215.201.107,204.33.94.161,UDP,2011-06-02 12:20:09,Outbound,41086,25726,602,273,200,Deny,True,Bypassed,M92A(ERBjhv$,Confidential,AES
103,196.81.182.192,126.70.0.138,UDP,2013-08-17 12:14:39,Inbound,37390,10936,502,631,200,Deny,False,Bypassed,&P7Yndj@T*4x,Public,SHA-256
104,201.236.93.56,193.119.167.155,TCP,2016-09-09 14:36:11,Outbound,3166,18013,231,1141,200,Deny,False,Bypassed,JD6!yqdC)2XL,Public,AES
105,167.248.103.209,163.147.213.130,TCP,2021-03-21 11:44:13,Inbound,14778,53131,756,1244,200,Quarantine,False,Used,#8TXJyCQXhQy,Internal,RSA
106,196.20.235.178,156.212.254.201,ICMP,2023-04-05 18:18:06,Inbound,46992,56760,136,551,200,Deny,True,Bypassed,RX_5VhHjYIv5,Highly Confidential,
107,41.81.236.142,110.165.134.187,ICMP,2022-05-26 22:34:44,Inbound,48926,63711,470,1340,200,Deny,True,Bypassed,+Nsj3oBka5PB,Highly Confidential,RSA
108,157.69.238.172,182.29.131.236,TCP,2011-12-01 20:32:14,Outbound,30942,45,982,916,200,Quarantine,True,Bypassed,KVU4Pcsa&9eT,Confidential,RSA
109,190.207.108.63,20.9.252.33,TCP,2017-12-15 00:12:41,Outbound,6131,8697,608,503,200,Deny,True,Used,UlB3u5Cq(2t^,Confidential,AES
110,36.227.109.151,179.44.108.40,ICMP,2014-12-06 06:31:24,Inbound,5507,34768,577,57,200,Allow,False,Failed,(dE+oIVmd1m9,Internal,RSA
111,73.57.47.120,117.243.92.128,ICMP,2012-11-25 20:23:03,Outbound,52074,61688,708,94,200,Quarantine,False,Used,)F#5FVv9U1rG,Internal,
112,222.54.124.4,152.238.253.193,UDP,2017-02-15 02:57:38,Outbound,36830,44758,177,1004,500,Allow,True,Bypassed,g45bd1o5^(C_,Public,AES
113,34.153.166.92,71.25.28.79,TCP,2021-11-15 04:29:11,Inbound,36176,21414,401,1241,200,Quarantine,True,Failed,d5KjR3in*fGF,Highly Confidential,RSA
114,58.248.154.175,12.187.253.116,ICMP,2011-04-10 05:25:35,Outbound,11966,24371,130,590,200,Allow,True,Failed,)HG61lAaL3UR,Highly Confidential,SHA-256
115,26.46.244.73,62.100.93.198,ICMP,2014-07-22 21:44:58,Inbound,3910,56276,884,65,200,Deny,False,Failed,2o!36lXg1XB4,Internal,RSA
116,77.251.42.254,211.153.91.79,UDP,2021-08-12 06:16:07,Inbound,58498,30481,887,618,200,Deny,False,Used,R4GRNvOsk%6E,Highly Confidential,AES
117,177.146.204.158,96.108.242.158,TCP,2020-03-28 11:17:06,Outbound,42701,55023,711,59,500,Allow,False,Bypassed,^$*jTUx!z9)e,Confidential,AES
118,60.36.13.84,18.205.39.154,ICMP,2016-03-16 12:29:57,Inbound,42784,53738,404,193,200,Allow,False,Bypassed,9gU(#e3O_tyt,Internal,RSA
119,100.236.232.124,23.181.149.18,TCP,2015-07-29 09:18:35,Outbound,31567,20581,417,287,200,Allow,False,Failed,r0wmDtV$!2!S,Highly Confidential,SHA-256
120,197.221.210.178,112.14.242.88,UDP,2017-09-16 10:05:24,Inbound,3060,62397,415,966,200,Quarantine,True,Used,u%0QeQLqlg06,Highly Confidential,AES
121,14.39.162.128,41.69.135.10,ICMP,2019-07-10 17:56:55,Outbound,54062,8441,95,719,200,Deny,True,Used,%Ot&vi14$9V6,Highly Confidential,
122,222.230.129.55,17.221.75.51,UDP,2014-07-05 18:38:02,Outbound,58877,36090,491,164,200,Deny,True,Failed,@I)3Ez_WQOQc,Internal,RSA
123,33.174.110.113,51.251.91.128,TCP,2020-04-24 12:25:56,Outbound,35720,23425,786,1236,500,Allow,True,Used,D%oYBn3xUil6,Internal,SHA-256
124,183.202.187.234,126.100.2.166,TCP,2022-03-01 10:54:54,Inbound,55857,64750,830,1048,200,Allow,False,Used,$#_ui51P7i$U,Public,AES
125,183.130.232.243,13.130.190.28,TCP,2020-01-01 15:28:39,Inbound,56498,34492,882,787,500,Deny,False,Bypassed,*Q(#0Jk3vHxS,Public,SHA-256
126,60.51.242.1,149.194.27.223,ICMP,2011-02-07 03:14:06,Inbound,63203,46007,972,1213,200,Quarantine,True,Used,(AkBp#hTkT7J,Confidential,RSA
127,199.200.108.193,129.218.1.150,TCP,2023-04-13 15:37:32,Inbound,23993,16821,806,261,200,Allow,False,Failed,J$GUdrrxP&8Z,Highly Confidential,RSA
128,187.61.148.223,182.73.29.2,TCP,2019-10-28 07:23:12,Inbound,23424,11149,910,808,200,Allow,True,Failed,+ut^p&jb@9X(,Highly Confidential,AES
129,146.159.5.18,32.198.253.97,UDP,2016-11-19 12:28:20,Outbound,11089,3573,370,47,200,Deny,False,Used,)JaYNs*si+55,Public,AES
130,36.98.171.76,105.235.253.116,UDP,2012-03-12 13:57:29,Outbound,13251,29215,46,579,200,Deny,True,Failed,(3QRUcwoL^ot,Public,RSA
131,69.223.237.143,78.62.81.115,ICMP,2018-11-13 00:37:49,Inbound,33929,37436,923,1098,200,Quarantine,True,Used,@9BV*p9o$2nW,Highly Confidential,RSA
132,93.254.60.112,155.100.13.113,ICMP,2018-03-14 20:11:46,Outbound,37203,21374,878,605,200,Allow,False,Used,I7Skmf(7*ATO,Highly Confidential,RSA
133,137.55.254.20,73.192.32.130,ICMP,2013-08-20 00:50:08,Outbound,3565,25939,911,718,200,Allow,False,Failed,k3(Ah0ob0(0P,Confidential,AES
134,111.231.96.215,57.71.48.158,TCP,2014-09-16 22:25:52,Inbound,29972,13854,936,873,200,Quarantine,False,Used,AD2Fu77xH$Y%,Internal,AES
135,219.127.168.144,29.217.147.33,UDP,2011-05-25 23:20:19,Inbound,45665,2003,248,802,200,Deny,True,Failed,Fy3)h(3yx(R5,Confidential,SHA-256
136,75.235.89.128,119.118.63.236,ICMP,2018-04-28 18:08:14,Inbound,32094,59738,136,1365,200,Allow,True,Failed,H%z41U9dSyAw,Confidential,SHA-256
137,186.183.56.150,174.20.115.25,TCP,2013-11-02 23:18:01,Outbound,5207,22039,284,1351,200,Deny,False,Bypassed,g3_7IAdk#tzF,Confidential,RSA
138,36.154.127.206,47.255.91.129,ICMP,2015-10-21 14:26:04,Inbound,23513,47616,731,495,200,Quarantine,False,Bypassed,F4OW88ZqVG7%,Confidential,SHA-256
139,97.198.22.121,134.131.53.111,UDP,2013-05-13 10:11:02,Outbound,52672,58121,340,801,200,Deny,False,Used,yj)!iOqD3I5P,Highly Confidential,AES
140,216.119.66.92,196.191.199.237,UDP,2017-03-24 10:13:26,Inbound,21758,56518,733,409,200,Deny,False,Bypassed,&$VATxplYuj3,Internal,SHA-256
141,55.52.93.11,82.53.81.55,TCP,2015-02-25 19:30:12,Inbound,36005,13069,749,804,500,Deny,True,Used,#N8&(fDJWjPm,Public,RSA
142,48.56.88.211,113.61.194.71,TCP,2011-07-25 03:38:41,Outbound,60097,32125,368,425,200,Deny,True,Used,tGuP)C3nI*9O,Internal,RSA
143,157.131.8.96,14.169.97.67,TCP,2020-05-01 10:21:54,Inbound,28337,29119,390,293,200,Deny,True,Used,(P2FPId6q8L5,Public,SHA-256
144,26.65.236.85,55.181.156.36,UDP,2016-12-11 20:32:21,Outbound,11534,2583,562,1056,404,Quarantine,False,Failed,8tDiL#bT4*P*,Internal,AES
145,131.142.73.208,189.187.119.16,TCP,2014-01-07 21:35:18,Outbound,24631,52534,694,680,200,Allow,True,Used,qwCvw+QN+4Z_,Public,RSA
146,156.103.204.239,193.220.233.210,UDP,2014-03-20 10:30:29,Outbound,43546,58074,817,381,200,Quarantine,True,Used,N7ZrGm7N_Wk(,Public,
147,178.130.232.246,137.132.222.188,UDP,2017-07-03 08:49:56,Outbound,1834,46175,890,1428,200,Quarantine,True,Bypassed,rrgcYMFf4c$7,Confidential,AES
148,144.239.139.145,131.162.196.233,UDP,2019-10-01 20:54:27,Inbound,22709,63580,285,143,200,Quarantine,False,Failed,D1vZamdw_lQL,Internal,AES
149,213.153.133.240,36.0.254.219,ICMP,2021-02-23 18:48:05,Outbound,59358,33315,576,463,200,Deny,False,Failed,_VLz607TP2yJ,Public,RSA
150,178.113.212.172,5.97.222.233,ICMP,2013-12-22 17:12:29,Outbound,47036,6968,47,376,200,Quarantine,False,Used,^LkKJb4jj27N,Confidential,RSA
151,1.92.71.164,130.169.158.135,ICMP,2010-02-07 17:36:47,Inbound,37280,61297,444,1238,200,Quarantine,True,Bypassed,!5@73X$drAEB,Internal,RSA
152,174.4.54.161,114.90.6.86,ICMP,2020-11-02 06:56:49,Outbound,56275,45974,561,682,200,Quarantine,True,Used,^1gnl1+h&qAb,Internal,SHA-256
153,35.152.196.194,208.34.2.36,TCP,2015-08-05 21:34:26,Outbound,10548,3478,687,155,200,Allow,False,Bypassed,@l4hawlf*JHj,Confidential,RSA
154,176.0.67.241,48.24.21.170,UDP,2015-04-24 07:06:29,Outbound,28324,62699,808,1443,200,Quarantine,True,Used,b91$krQ6m+RY,Confidential,RSA
155,96.121.56.71,56.172.29.69,UDP,2010-05-19 19:55:32,Outbound,37501,17318,134,369,200,Deny,True,Failed,s_huHGEo(R43,Highly Confidential,RSA
156,170.171.121.76,22.238.134.46,UDP,2020-09-29 03:58:15,Outbound,7049,22899,227,476,200,Deny,False,Failed,*BsVMQq8x6y_,Internal,
157,81.112.168.155,123.187.46.34,UDP,2021-12-21 03:34:25,Outbound,32927,2874,304,1374,200,Quarantine,True,Used,_6J)Djjm^@%M,Internal,AES
158,95.136.253.90,42.31.234.0,TCP,2015-06-10 06:49:27,Inbound,4580,11665,814,555,200,Quarantine,True,Failed,FVV@q!yzo$8D,Highly Confidential,
159,101.216.58.143,157.189.222.232,UDP,2021-05-14 07:30:20,Inbound,19473,50154,949,936,200,Quarantine,True,Failed,0i^F5cvk)y^@,Internal,RSA
160,87.31.97.125,118.38.107.44,ICMP,2012-06-15 09:18:32,Outbound,14900,27044,928,1362,200,Allow,True,Used,LmLY)Nb(&9&f,Internal,SHA-256
